delta,Eigenvalue_0,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,GroundStateWaveFunction
0,[-4.88110682 -4.         -4.88110682 -4.88110682],"[-5.52076008e-02+0.04140963j -5.50828122e-02+0.04846475j
 -5.26748771e-02-0.02302233j -1.43738275e-02-0.02125535j
  4.30595321e-02+0.00129771j -6.85651092e-02-0.02038868j
 -2.60486938e-02+0.01286447j  2.15801399e-02+0.00381814j
 -5.76706938e-03+0.00816342j -1.22708549e-02+0.04580462j
 -3.27402257e-02+0.00395006j  5.77295140e-03-0.00056299j
 -2.03051761e-02+0.00259798j -6.04617409e-02+0.04876421j
 -3.00837357e-02+0.01020017j -2.48777870e-02-0.02191184j
  2.18932815e-02+0.00864222j -6.95469368e-02-0.02432449j
 -4.76182767e-02-0.01945379j  3.41282230e-02+0.0045876j
  6.95210487e-03+0.00093449j -2.81876860e-02+0.04465448j
 -3.96195588e-02+0.04457422j  8.81336742e-03-0.00061698j
  1.06157685e-02-0.0729053j   5.07384083e-02-0.06869313j
  1.15903443e-01-0.0474787j  -1.43974430e-02-0.06178206j
  3.45697064e-02-0.03054232j  8.87269282e-02-0.04359695j
  4.91287547e-02-0.03317738j  4.45354220e-02-0.00170431j
  2.62861744e-02-0.04542375j  8.01684785e-02-0.0501585j
  1.08256218e-03-0.01350956j  1.41489060e-03+0.00051432j
  3.39961030e-02-0.03864379j  3.76587051e-02-0.06900357j
  8.72274400e-02-0.03924664j -9.90329724e-03-0.07385536j
  1.50245468e-02-0.06411951j  1.00131410e-01-0.04240346j
  7.92685533e-02-0.04244009j  1.13101657e-02-0.00014281j
  2.15695673e-02-0.00368461j  9.47366364e-04-0.06068284j
  4.07089847e-02-0.06972009j  1.03413285e-01-0.04567079j
 -2.62908154e-02-0.07082056j  2.49088715e-02-0.03031537j
  6.73927249e-02-0.03700591j  4.83733730e-02-0.03834138j
  3.52787600e-02-0.00123445j  1.49472551e-02-0.03751958j
  7.18486512e-02-0.04819601j -6.35546927e-03-0.03982869j
 -1.93853225e-03+0.00075432j  8.03466706e-03-0.01257507j
  2.98271777e-02-0.06843597j  7.58372237e-02-0.03890159j
 -1.91036762e-02-0.06870712j  4.94322860e-03-0.06722724j
  8.45714836e-02-0.03979503j  7.32068733e-02-0.04499832j
  2.22555746e-02+0.00027185j  4.35806080e-03-0.00107731j
  3.42461647e-02+0.00191469j  1.05287674e-01+0.0254266j
 -2.30220782e-02-0.00039851j  2.99520410e-02+0.03677487j
  6.80954620e-02+0.02370179j  4.05531637e-02+0.02929747j
